TEXT,DEPART,DESTINATION,ERROR
Y'a t-il un train partant de Limoges en direction de Paris,Limoges,Paris,false
Y'a t-il un train en direction de Auxerre et partant de Cannes,Cannes,Auxerre,false
Quelle est le chemin le plus court pour faire Montpellier à Rennes,Montpellier,Rennes,false
Et si je dois partir de Narbonne pour Rennes?,Narbonne,Rennes,false
Quel train va à Strasbourg depuis Narbonne?,Narbonne,Strasbourg,false
Je pars de Toulouse. Quel est le chemin le plus opti pour aller à Nice?,Toulouse,Nice,false
Je pars d'Avignon et je me dirige à Grenoble,Avignon,Grenoble,false
Combien de temps pour un train partant de Paris à destination de Carcassone?,Paris,Carcassone,false
C'est une catastrophe mon train est annulé. Je devais faire Rennes à Montpellier demain soir mais je ne sais pas comment faire.,Rennes,Montpellier,false
Comment dois-je m'y prendre pour aller de Lille à Pau?,Lille,Pau,false
Quel est le meilleur itinéraire pour aller de Montpellier à Béziers en passant par Nantes?,Montpellier,Béziers,false
j'aimerais partir de Béziers et passer par biarritz pour me rendre à Marseille.,Béziers,Marseille,false
arrivée Grenoble et départ Orleans,Orleans,Grenoble,false
Je souhaite aller à Lyon en partant de La Rochelle,La Rochelle,Lyon,false
Comment va t'on de Lyon à Nice?,Lyon,Nice,false
Affiche moi les trains qui vont de Toulouse à Brest,Toulouse,Brest,false
Je me demande comment je pourrais aller à Strasbourg en partant de chez moi de Montpellier,Montpellier,Strasbourg,false
J'ai un seminaire d'entreprise demain il faut que je prenne le train en direction de Nantes à 17h54 mais j'ai pas trouvé de train qui part de Narbonne donc je dois partir Bordeaux,Bordeaux,Nantes,false
Ajaccio à Bordeaux,Ajaccio,Bordeaux,false
Depart Lyon arrivée Ajaccio,Lyon,Ajaccio,false
Je veux partir de Coppet à St-Gervais-L-B-Le-Fayet,Coppet,St-Gervais-L-B-Le-Fayet,false
Je veux partir de Cluses à Coppet,Cluses,Coppet,false
Le chemin le plus court pour Dijon depuis Lille?,Lille,Dijon,false
Je veux partir de Forbach à Metz-Ville,Forbach,Metz-Ville,false
Je veux partir de Bening à Metz-Ville,Bening,Metz-Ville,false
Emmène moi de St-Gervais-L-B-Le-Fayet à Coppet,St-Gervais-L-B-Le-Fayet,Coppet,false
Emmène moi de Coppet à Cluses,Coppet,Cluses,false
Emmène moi de Metz-Ville à Forbach,Metz-Ville,Forbach,false
Emmène moi de Metz-Ville à Bening,Metz-Ville,Bening,false
Comment dois-je m'y prendre pour aller de Paris-Bercy à Nevers,Paris-Bercy,Nevers,false
Comment dois-je m'y prendre pour aller de Tours à Lyon-Perrache,Tours,Lyon-Perrache,false
Le chemin le plus court pour La Rochelle depuis Lille?,Lille,La Rochelle,false
Comment dois-je m'y prendre pour aller de Nevers à Lyon-Perrache,Nevers,Lyon-Perrache,false
Comment dois-je m'y prendre pour aller de Villefranche-Vernet-l.B à Latour-de-Carol-Enveitg,Villefranche-Vernet-l.B,Latour-de-Carol-Enveitg,false
Comment dois-je m'y prendre pour aller de Metz-Ville à Bening,Metz-Ville,Bening,false
Quel est le meilleur itinéraire pour aller de Boulogne à Amiens,Boulogne,Amiens,false
Quel est le meilleur itinéraire pour aller de Paris à Amiens,Paris,Amiens,false
Quel est le meilleur itinéraire pour aller de Paris à Cambrai,Paris,Cambrai,false
Quel est le meilleur itinéraire pour aller de Paris à Maubeuge,Paris,Maubeuge,false
Je ne sais pas si les grève vont impacté mon trajet habituelle de Pau à Perpignan,Pau,Perpignan,false
